date,salle,organisateur,debut,fin,motif,nb_participants_prevu
2026-03-23,C.1221,Pauline Vincent,08:00,08:45,Réunion 1-1,4
2026-03-23,B.0179,Émilie Leroy,08:00,08:30,Présentation résultats,5
2026-03-23,C.4117,Jean Leroy,08:15,09:45,Brainstorming,4
2026-03-23,C.3210,Maxime Mathieu,08:15,09:00,Présentation résultats,6
2026-03-23,B.1366,Mathieu Richard,08:15,08:45,Présentation résultats,2
2026-03-23,B.0179,Julie Henry,08:45,10:45,Rétrospective,2
2026-03-23,B.3348,Émilie Leroy,09:00,10:00,Présentation résultats,18
2026-03-23,C.1221,Pauline Mathieu,09:45,10:15,Présentation résultats,6
2026-03-23,A.0293,Pauline Chevalier,09:45,11:45,Sprint planning,2
2026-03-23,A.2396,Benoit Fontaine,10:00,11:30,Sprint planning,4
2026-03-23,B.1366,Julie Guerin,10:15,12:15,Réunion 1-1,4
2026-03-23,C.1221,Vincent Bonnet,10:30,12:30,Brainstorming,4
2026-03-23,C.3210,Romain Lambert,10:30,12:00,Demo produit,2
2026-03-23,B.0179,Yannick Robert,11:00,12:00,Formation interne,2
2026-03-23,C.2324,Isabelle Masson,11:30,12:30,Demo produit,8
2026-03-23,B.1213,Mathilde Girard,12:00,15:00,Rétrospective,7
2026-03-23,A.2396,Pierre Durand,12:15,13:45,Atelier client,4
2026-03-23,C.2324,Mathieu Lefebvre,12:30,13:15,Brainstorming,5
2026-03-23,B.1366,Aurélie Durand,13:00,15:00,Atelier client,4
2026-03-23,B.3232,Fabien Richard,14:00,16:00,Brainstorming,12
2026-03-23,C.4117,Pierre Garcia,14:15,15:45,Demo produit,4
2026-03-23,C.1221,Isabelle Masson,15:15,17:15,Revue d'architecture,2
2026-03-23,C.2324,Léa Roussel,15:15,16:00,Réunion 1-1,2
2026-03-23,A.0293,Inès Moreau,15:30,16:15,Formation interne,8
2026-03-23,C.4117,Pierre Garcia,16:30,18:30,Revue d'architecture,5
2026-03-24,C.4117,Mathieu Lefebvre,08:00,10:00,Demo produit,2
2026-03-24,C.3210,Caroline André,09:15,11:15,Brainstorming,5
2026-03-24,A.2396,Pauline Richard,09:30,10:15,Atelier client,2
2026-03-24,A.2396,Florian Girard,10:15,12:15,Réunion 1-1,6
2026-03-24,A.0293,Émilie Richard,10:30,12:00,Demo produit,2
2026-03-24,C.4117,Sarah Gautier,12:00,14:00,Demo produit,3
2026-03-24,C.2324,Caroline Fontaine,12:00,12:30,Entretien candidat,5
2026-03-24,A.0293,Stéphanie Henry,12:30,13:30,Réunion équipe,6
2026-03-24,C.1221,Frédéric Bernard,13:30,14:15,Rétrospective,5
2026-03-24,B.0179,Julie Bertrand,13:45,14:45,Onboarding,3
2026-03-24,A.0293,Sophie Moreau,14:00,15:30,Onboarding,5
2026-03-24,B.1415,Hugo Mathieu,14:00,15:00,Présentation résultats,18
2026-03-24,C.1221,Sébastien Blanc,14:45,15:30,Atelier client,2
2026-03-24,C.2324,Maxime Blanc,14:45,15:15,Réunion équipe,5
2026-03-24,B.0179,Marion Nicolas,15:00,15:45,Comité de pilotage,8
2026-03-24,A.2396,Maxime Mathieu,15:15,16:15,Daily standup,5
2026-03-24,C.4117,Inès Moreau,15:30,17:30,Formation interne,3
2026-03-24,C.2324,Sandra Mercier,16:15,16:45,Demo produit,11
2026-03-24,B.0179,Claire Petit,16:30,17:00,Entretien candidat,8
2026-03-24,B.1366,Aurélie Durand,16:30,17:15,Présentation résultats,4
2026-03-25,B.1366,Émilie Leroy,08:00,08:45,Brainstorming,2
2026-03-25,C.2324,Nathalie Durand,08:15,09:45,Réunion équipe,3
2026-03-25,C.3210,Yannick Lefevre,08:45,10:15,Comité de pilotage,3
2026-03-25,A.2396,Marion François,09:00,10:30,Comité de pilotage,4
2026-03-25,C.4117,Mathilde Gautier,09:30,10:15,Réunion équipe,2
2026-03-25,B.0179,Antoine Robert,10:00,10:45,Brainstorming,11
2026-03-25,C.4117,Marie Masson,10:30,11:30,Demo produit,3
2026-03-25,B.1366,Florian Dupuis,10:30,12:30,Réunion 1-1,3
2026-03-25,A.2396,Isabelle Girard,11:00,13:00,Réunion équipe,2
2026-03-25,C.1221,Sandra Clement,11:45,13:45,Revue d'architecture,5
2026-03-25,B.0179,Laurent Rousseau,12:30,13:30,Brainstorming,10
2026-03-25,C.4117,Lucas Legrand,13:00,15:00,Formation interne,4
2026-03-25,A.4111,Sarah Martin,14:00,17:00,Formation interne,8
2026-03-25,B.1366,Christophe Morel,14:15,14:45,Entretien candidat,3
2026-03-25,C.1221,Sandra Mercier,15:00,15:30,Rétrospective,3
2026-03-25,B.0179,Aurélie Durand,15:30,16:15,Demo produit,11
2026-03-25,A.0293,Caroline Muller,15:45,16:30,Demo produit,7
2026-03-25,C.3210,Camille Legrand,16:00,17:30,Entretien candidat,8
2026-03-25,C.2324,Lucas Henry,16:15,18:15,Entretien candidat,12
2026-03-25,C.1221,Yannick Michel,16:45,17:30,Entretien candidat,3
2026-03-25,C.4117,Jean Leroy,16:45,18:15,Brainstorming,3
2026-03-26,A.0293,Aurélie Bertrand,08:15,09:00,Onboarding,8
2026-03-26,C.3210,Élodie Blanc,08:45,10:45,Formation interne,7
2026-03-26,A.0293,Jean Leroy,09:00,09:30,Rétrospective,7
2026-03-26,A.0293,Pauline Mathieu,09:30,11:00,Présentation résultats,8
2026-03-26,C.1221,Sarah Clement,10:15,10:45,Rétrospective,3
2026-03-26,A.2396,Mathieu Richard,10:45,12:45,Formation interne,2
2026-03-26,A.0293,Stéphanie Nicolas,11:15,12:45,Daily standup,10
2026-03-26,B.0179,Laurent Richard,11:30,13:00,Rétrospective,10
2026-03-26,C.1221,Élodie Perrin,12:15,12:45,Sprint planning,5
2026-03-26,C.4117,Marion François,12:30,14:30,Réunion équipe,4
2026-03-26,C.1221,Jean Leroy,13:15,13:45,Réunion équipe,5
2026-03-26,C.2324,Romain Moreau,13:15,14:15,Rétrospective,9
2026-03-26,B.1366,Frédéric Bernard,14:15,15:45,Atelier client,2
2026-03-26,C.4117,Romain Moreau,14:30,15:15,Entretien candidat,5
2026-03-26,B.1213,Caroline André,15:00,17:00,Onboarding,5
2026-03-26,C.3210,Élodie Garcia,15:45,16:30,Sprint planning,7
2026-03-26,B.1366,Marie Roux,16:00,16:45,Entretien candidat,4
2026-03-26,A.2396,Thomas Leroy,16:15,17:15,Comité de pilotage,6
2026-03-26,B.0179,Luc Mercier,16:30,17:30,Présentation résultats,7
2026-03-26,C.2324,Aurélie Durand,16:30,17:30,Sprint planning,3
2026-03-26,C.1221,Romain Simon,16:45,17:30,Comité de pilotage,3
2026-03-27,C.3210,Pierre Simon,08:15,09:15,Réunion 1-1,3
2026-03-27,B.0179,Élodie Garcia,08:45,09:30,Présentation résultats,6
2026-03-27,C.2324,Sandra Chevalier,09:15,11:15,Revue d'architecture,11
2026-03-27,A.2396,Isabelle Girard,09:45,10:15,Brainstorming,6
2026-03-27,C.1221,Lucas Legrand,10:00,10:30,Daily standup,6
2026-03-27,B.1366,Inès Dupuis,10:45,12:45,Onboarding,4
2026-03-27,C.1221,Pauline Chevalier,11:15,12:00,Sprint planning,2
2026-03-27,C.2324,Thomas Nicolas,11:30,12:30,Réunion équipe,6
2026-03-27,C.3210,Justine Chevalier,11:45,12:45,Rétrospective,2
2026-03-27,B.0179,Élodie Blanc,12:00,14:00,Daily standup,3
2026-03-27,A.0415,Vincent Muller,12:00,14:00,Présentation résultats,13
2026-03-27,C.4117,Aurélie Durand,12:30,13:00,Atelier client,4
2026-03-27,C.2324,Antoine Muller,12:45,13:15,Demo produit,3
2026-03-27,A.2396,Mathilde Girard,13:30,14:30,Comité de pilotage,2
2026-03-27,C.1221,Laurent Rousseau,13:45,14:15,Sprint planning,6
2026-03-27,C.1221,Pauline Richard,15:00,15:45,Présentation résultats,5
2026-03-27,A.0293,Julie Henry,15:00,16:30,Onboarding,7
2026-03-27,B.0179,Lucas Michel,15:15,16:00,Onboarding,2
2026-03-27,B.1366,Florian Henry,15:15,16:00,Brainstorming,3
2026-03-27,B.1213,Sylvie Fournier,16:00,19:00,Onboarding,17
2026-03-27,C.2324,Nathalie Richard,16:15,17:15,Présentation résultats,6
2026-03-27,C.4117,Alexandre Chevalier,16:30,17:15,Entretien candidat,4
2026-03-27,A.2396,Pierre Simon,16:30,17:15,Réunion équipe,6
2026-03-27,B.0179,Benoit Morel,16:45,17:45,Entretien candidat,11
2026-03-27,B.1366,Fabien Richard,16:45,18:45,Réunion équipe,4
