date,salle,organisateur,debut,fin,motif,nb_participants_prevu
2026-04-06,C.1209,Marion Robin,08:00,09:00,Formation interne,7
2026-04-06,B.1156,Hugo Marchand,09:15,09:45,Onboarding,2
2026-04-06,C.4145,Charlotte Robin,09:45,10:30,Présentation résultats,4
2026-04-06,A.2239,Damien Faure,10:00,12:00,Revue d'architecture,4
2026-04-06,C.4145,Lucas Garcia,10:30,11:30,Entretien candidat,5
2026-04-06,B.3471,Benoit Girard,11:00,13:00,Revue d'architecture,9
2026-04-06,A.1237,Luc Chevalier,12:00,13:30,Demo produit,5
2026-04-06,B.2135,Aurélie Guerin,12:30,13:30,Formation interne,4
2026-04-06,B.1156,Luc Perrin,13:00,14:00,Brainstorming,3
2026-04-06,C.4145,Caroline Vincent,13:30,15:30,Onboarding,5
2026-04-06,B.2135,Charlotte Girard,15:00,16:30,Comité de pilotage,2
2026-04-06,A.1237,Thomas Fontaine,15:00,16:30,Formation interne,7
2026-04-06,A.4122,Hugo Rousseau,15:30,16:30,Atelier client,12
2026-04-06,C.1209,Luc Morel,15:30,17:30,Atelier client,3
2026-04-06,B.2135,Claire Lefebvre,16:45,18:15,Présentation résultats,2
2026-04-06,A.2239,Émilie Legrand,16:45,17:45,Brainstorming,5
2026-04-06,B.1156,Élodie Girard,16:45,18:45,Brainstorming,5
2026-04-06,A.1237,Léa Bonnet,16:45,18:45,Formation interne,9
2026-04-07,C.4145,Charlotte Boyer,08:00,09:30,Onboarding,5
2026-04-07,B.3471,Luc Chevalier,08:45,10:45,Onboarding,3
2026-04-07,A.2239,Pauline Legrand,08:45,09:15,Revue d'architecture,3
2026-04-07,A.1237,Christophe Vincent,09:00,10:30,Rétrospective,2
2026-04-07,A.4122,Yannick Mathieu,09:45,11:45,Entretien candidat,7
2026-04-07,A.2239,Charlotte Boyer,10:00,10:45,Rétrospective,8
2026-04-07,C.4145,Élodie Girard,10:30,12:00,Atelier client,3
2026-04-07,C.1209,Sarah Garcia,10:45,11:45,Rétrospective,6
2026-04-07,A.1237,Mathieu François,10:45,11:15,Réunion équipe,9
2026-04-07,A.3418,Mathilde Roussel,11:00,13:00,Réunion 1-1,12
2026-04-07,B.2135,Aurélie Girard,12:00,12:30,Daily standup,2
2026-04-07,B.3471,Thomas Fontaine,12:00,13:00,Comité de pilotage,10
2026-04-07,A.2239,Pauline Garnier,12:00,12:45,Comité de pilotage,7
2026-04-07,B.2135,Nathalie Dupont,12:30,13:15,Atelier client,2
2026-04-07,A.4122,Luc Morel,12:45,14:15,Rétrospective,11
2026-04-07,B.1156,Manon Nicolas,12:45,13:15,Présentation résultats,7
2026-04-07,A.1237,Benoit Girard,14:00,16:00,Sprint planning,5
2026-04-07,B.1156,Émilie Roussel,14:15,15:00,Entretien candidat,4
2026-04-07,B.2135,Caroline Fournier,14:45,15:15,Réunion équipe,2
2026-04-07,A.4122,Sarah Rousseau,15:45,16:30,Entretien candidat,3
2026-04-07,C.1209,Camille Bonnet,16:00,16:45,Réunion 1-1,2
2026-04-07,B.1156,Justine Chevalier,16:30,17:00,Revue d'architecture,4
2026-04-07,A.2239,Mathieu François,16:45,17:15,Réunion équipe,4
