date,salle,organisateur,debut,fin,motif,nb_participants_prevu
2026-03-02,B.1156,Thomas Bonnet,08:15,09:00,Sprint planning,7
2026-03-02,B.2135,Justine Chevalier,08:30,10:30,Daily standup,4
2026-03-02,B.3471,Léa Bonnet,08:45,10:15,Comité de pilotage,8
2026-03-02,C.1209,Jean Dupont,08:45,09:30,Rétrospective,3
2026-03-02,C.4145,Benoit Guerin,09:00,09:45,Onboarding,2
2026-03-02,A.4122,Laurent Gauthier,09:15,10:15,Demo produit,9
2026-03-02,A.2239,Olivier Roux,09:30,11:30,Daily standup,7
2026-03-02,B.1156,Romain Garcia,10:00,10:45,Rétrospective,4
2026-03-02,A.1237,Yannick Mathieu,10:15,12:15,Entretien candidat,5
2026-03-02,B.3471,Jean Fontaine,10:30,11:15,Rétrospective,9
2026-03-02,B.2135,Audrey Lefevre,11:00,12:30,Rétrospective,4
2026-03-02,A.2239,Chloé Roux,11:30,12:30,Revue d'architecture,4
2026-03-02,C.1209,Justine Leroy,12:30,13:15,Réunion 1-1,9
2026-03-02,C.4145,Sarah Faure,12:45,13:45,Sprint planning,4
2026-03-02,A.4122,Nathalie Vincent,13:00,14:00,Entretien candidat,5
2026-03-02,A.1237,Nathalie Legrand,13:00,15:00,Demo produit,4
2026-03-02,C.1209,Luc Chevalier,14:00,14:30,Daily standup,4
2026-03-02,A.2239,Léa Bonnet,14:15,16:15,Demo produit,8
2026-03-02,B.2135,Émilie Roussel,14:30,15:15,Brainstorming,3
2026-03-02,A.3418,Lucas François,15:00,18:00,Entretien candidat,18
2026-03-02,C.4316,Manon Nicolas,15:00,17:00,Entretien candidat,10
2026-03-02,B.3471,Charlotte Robin,15:15,16:15,Atelier client,10
2026-03-02,C.1209,Quentin Roussel,15:15,16:00,Sprint planning,8
2026-03-02,B.1156,Isabelle Faure,15:15,16:00,Atelier client,2
2026-03-02,A.1237,Pierre Leroy,15:30,16:00,Formation interne,8
2026-03-02,C.4145,Manon Muller,16:00,18:00,Revue d'architecture,4
2026-03-03,B.1156,Aurélie Girard,08:45,09:15,Entretien candidat,7
2026-03-03,A.4122,Émilie Legrand,09:00,09:30,Présentation résultats,3
2026-03-03,B.2190,Marion Robin,09:00,11:00,Formation interne,20
2026-03-03,A.3418,Nathalie Legrand,09:00,10:00,Atelier client,12
2026-03-03,B.3181,Charlotte Robin,09:00,11:00,Réunion 1-1,8
2026-03-03,B.3471,Sarah Richard,09:15,09:45,Atelier client,5
2026-03-03,C.1209,Léa Girard,09:30,11:30,Réunion équipe,7
2026-03-03,A.1237,Sarah Rousseau,09:45,11:15,Onboarding,6
2026-03-03,B.2135,Julie Perrin,10:00,10:30,Formation interne,5
2026-03-03,C.4145,Luc Chevalier,10:30,11:15,Daily standup,2
2026-03-03,C.4145,Nathalie Legrand,11:15,12:45,Réunion 1-1,5
2026-03-03,A.1237,Inès Gautier,12:15,13:15,Présentation résultats,2
2026-03-03,A.2239,Nathalie Legrand,12:30,13:15,Réunion équipe,4
2026-03-03,B.1156,Charlotte Boyer,12:30,14:00,Atelier client,6
2026-03-03,C.1209,Charlotte Boyer,13:45,14:15,Comité de pilotage,7
2026-03-03,B.2135,Aurélie Fournier,14:15,16:15,Réunion 1-1,3
2026-03-03,B.1156,Romain Lefevre,14:45,15:15,Rétrospective,7
2026-03-03,B.3471,Camille Masson,15:45,16:30,Comité de pilotage,3
2026-03-03,A.2239,Luc François,16:00,16:30,Onboarding,8
2026-03-03,A.1237,Olivier André,16:15,18:15,Présentation résultats,8
2026-03-03,B.2135,Luc Morel,16:30,18:00,Comité de pilotage,4
2026-03-03,B.3471,Camille Robert,16:30,18:00,Réunion équipe,5
2026-03-03,A.4122,Aurélie Girard,16:30,17:00,Demo produit,11
2026-03-03,A.2239,Antoine Simon,16:45,18:15,Onboarding,4
2026-03-04,A.2239,Justine Chevalier,08:00,10:00,Rétrospective,4
2026-03-04,A.1237,Claire Fontaine,08:00,09:30,Revue d'architecture,2
2026-03-04,C.4145,Claire Moreau,08:30,09:00,Présentation résultats,5
2026-03-04,C.1209,Pierre Garcia,08:45,09:15,Comité de pilotage,5
2026-03-04,C.4145,Léa Legrand,09:30,11:00,Rétrospective,5
2026-03-04,B.2135,Sébastien Henry,11:15,13:15,Comité de pilotage,4
2026-03-04,A.2239,Aurélie Gauthier,11:30,12:30,Rétrospective,4
2026-03-04,A.4122,Sophie Lefevre,11:45,12:15,Sprint planning,4
2026-03-04,B.1156,Sarah Rousseau,12:45,13:30,Réunion équipe,2
2026-03-04,C.1209,Fabien Dupont,13:00,13:45,Entretien candidat,2
2026-03-04,A.4122,Jean Fontaine,14:00,14:45,Entretien candidat,10
2026-03-04,A.2239,Inès Laurent,14:00,15:00,Réunion 1-1,4
2026-03-04,B.3471,Romain Bonnet,14:45,15:45,Présentation résultats,3
2026-03-04,A.4122,Jean Durand,15:30,17:30,Brainstorming,3
2026-03-04,B.2135,Luc François,15:45,16:45,Brainstorming,4
2026-03-04,B.3471,Inès Boyer,15:45,16:30,Demo produit,6
2026-03-04,A.2239,Léa Bonnet,16:45,17:15,Daily standup,4
2026-03-04,B.1156,Hugo Rousseau,16:45,17:15,Entretien candidat,7
2026-03-05,C.1209,Pauline Garnier,08:15,09:00,Daily standup,8
2026-03-05,B.3471,Lucas Garcia,08:30,09:00,Revue d'architecture,9
2026-03-05,B.2135,Jean Dupont,09:45,10:45,Formation interne,2
2026-03-05,B.1156,Pierre Simon,09:45,10:45,Réunion équipe,6
2026-03-05,A.4122,Sophie Lefebvre,10:15,12:15,Atelier client,9
2026-03-05,B.3471,Sophie Clement,10:30,11:30,Atelier client,6
2026-03-05,C.1209,Luc François,11:00,13:00,Formation interne,7
2026-03-05,B.2190,Romain Bonnet,11:00,14:00,Revue d'architecture,16
2026-03-05,A.2239,Aurélie Girard,11:45,13:45,Comité de pilotage,10
2026-03-05,A.1237,Quentin Michel,12:15,12:45,Entretien candidat,10
2026-03-05,A.4122,Sébastien Henry,12:45,13:15,Entretien candidat,4
2026-03-05,A.0366,Quentin Bonnet,13:00,14:00,Demo produit,8
2026-03-05,B.2135,Léa Bonnet,13:15,14:00,Formation interne,5
2026-03-05,B.1156,Lucas Garcia,13:30,14:00,Revue d'architecture,6
2026-03-05,A.2107,Sarah Faure,14:00,16:00,Présentation résultats,5
2026-03-05,A.2239,Vincent Dupont,14:15,15:45,Onboarding,7
2026-03-05,C.4145,Nicolas Fournier,14:15,15:45,Comité de pilotage,4
2026-03-05,A.4122,Audrey Lefevre,15:30,16:15,Revue d'architecture,7
2026-03-05,B.1156,Chloé Lefevre,15:45,16:15,Rétrospective,4
2026-03-05,C.4145,Camille Robert,16:15,16:45,Brainstorming,6
2026-03-05,B.2135,Sarah Mercier,16:30,18:00,Réunion 1-1,5
2026-03-05,B.1156,Caroline Henry,16:30,18:00,Formation interne,4
2026-03-05,A.1237,Sophie Lefebvre,16:45,18:45,Brainstorming,6
2026-03-06,B.1156,Julie Perrin,08:00,08:30,Demo produit,7
2026-03-06,C.1209,Jean Dupont,08:15,09:45,Atelier client,3
2026-03-06,A.4122,Thomas Fontaine,08:45,09:30,Réunion équipe,10
2026-03-06,A.2239,Florian Clement,08:45,09:45,Formation interne,8
2026-03-06,B.3471,Sarah Mercier,09:45,11:15,Sprint planning,2
2026-03-06,A.1237,Nathalie Dupont,10:15,11:00,Comité de pilotage,2
