date,salle,organisateur,debut,fin,motif,nb_participants_prevu
2026-03-30,A.2396,Élodie Blanc,08:15,10:15,Présentation résultats,5
2026-03-30,B.1415,Christophe Bonnet,09:00,10:00,Présentation résultats,17
2026-03-30,C.2324,Sandra David,09:15,10:45,Sprint planning,8
2026-03-30,A.0293,Maxime Masson,09:30,10:00,Réunion 1-1,7
2026-03-30,C.4117,Maxime Gautier,10:45,11:30,Atelier client,4
2026-03-30,B.0179,Émilie Boyer,11:30,13:00,Daily standup,5
2026-03-30,A.2396,Charlotte Guerin,11:30,12:30,Brainstorming,5
2026-03-30,B.3348,Pierre Durand,12:00,14:00,Onboarding,8
2026-03-30,C.1221,Marion Fontaine,12:15,13:15,Daily standup,4
2026-03-30,C.4117,Caroline Blanc,12:15,13:45,Entretien candidat,2
2026-03-30,C.3210,Élodie Perrin,12:30,13:30,Demo produit,2
2026-03-30,B.1366,Maxime Mathieu,12:30,13:15,Rétrospective,2
2026-03-30,B.1366,Pierre Garcia,13:15,14:15,Onboarding,4
2026-03-30,C.2324,Aurélie Bertrand,14:30,15:00,Sprint planning,11
2026-03-30,A.0293,Mathilde Nicolas,15:15,16:45,Sprint planning,4
2026-03-30,C.3210,Sophie Michel,15:30,16:15,Brainstorming,6
2026-03-30,B.0179,Émilie Boyer,15:45,16:15,Sprint planning,5
2026-03-30,C.4117,Maxime Masson,16:15,16:45,Brainstorming,3
2026-03-30,A.0293,Sébastien Lefebvre,16:45,17:15,Sprint planning,4
2026-03-31,C.1221,Stéphanie Nicolas,08:00,08:30,Atelier client,5
2026-03-31,C.3210,Léa Roussel,08:30,10:30,Brainstorming,5
2026-03-31,A.0293,Benoit Morel,08:30,10:30,Rétrospective,6
2026-03-31,A.2396,Sandra David,08:30,10:30,Onboarding,3
2026-03-31,C.2324,Élodie Clement,08:45,09:15,Revue d'architecture,4
2026-03-31,B.1366,Sandra Gauthier,09:30,11:30,Formation interne,2
2026-03-31,C.2324,Yannick Lefevre,10:00,11:30,Comité de pilotage,6
2026-03-31,A.4111,Pierre Durand,10:00,11:00,Sprint planning,7
2026-03-31,C.1221,Camille Rousseau,11:00,12:00,Daily standup,5
2026-03-31,C.4117,Stéphanie Henry,11:00,13:00,Réunion équipe,4
2026-03-31,B.0179,Claire Bonnet,13:15,14:15,Daily standup,12
2026-03-31,A.2396,Sarah Rousseau,13:15,14:15,Onboarding,5
