date,salle,organisateur,debut,fin,motif,nb_participants_prevu
2026-02-16,C.3210,Marion Nicolas,08:15,09:00,Demo produit,6
2026-02-16,B.0179,Florian Girard,08:30,09:15,Réunion 1-1,4
2026-02-16,C.4117,Émilie Moreau,09:45,10:15,Présentation résultats,5
2026-02-16,A.0293,Lucas Henry,10:00,11:00,Daily standup,3
2026-02-16,B.1366,Sophie Moreau,10:15,12:15,Réunion 1-1,3
2026-02-16,A.2396,Alexandre Chevalier,11:00,11:30,Comité de pilotage,6
2026-02-16,C.1221,Caroline Fontaine,11:30,12:00,Réunion 1-1,2
2026-02-16,B.0179,Jean Leroy,11:45,12:30,Onboarding,8
2026-02-16,C.1221,Caroline Fontaine,12:00,12:30,Daily standup,4
2026-02-16,A.2396,Florian Henry,12:15,13:15,Sprint planning,4
2026-02-16,A.0293,Caroline Blanc,12:30,14:30,Daily standup,9
2026-02-16,B.1366,Marion Morel,12:30,13:30,Présentation résultats,3
2026-02-16,C.3210,Émilie Moreau,13:15,14:15,Atelier client,3
2026-02-16,B.0179,Élodie Blanc,13:45,14:30,Daily standup,8
2026-02-16,C.2324,Yannick Michel,14:00,15:30,Entretien candidat,3
2026-02-16,C.4117,Mathieu Fournier,14:45,15:45,Brainstorming,2
2026-02-16,C.3210,Émilie Boyer,15:00,15:30,Daily standup,3
2026-02-16,B.1366,Julie Guerin,15:00,15:30,Réunion 1-1,4
2026-02-16,C.2324,Caroline Fontaine,15:45,16:15,Demo produit,11
2026-02-16,C.4117,Marion François,16:30,18:30,Onboarding,2
2026-02-17,C.1221,Pierre Guerin,08:30,09:15,Présentation résultats,5
2026-02-17,B.0179,Marion Fontaine,09:00,10:00,Comité de pilotage,12
2026-02-17,C.2324,Aurélie Durand,09:00,09:45,Réunion équipe,11
2026-02-17,C.3210,Marion Morel,09:15,10:45,Formation interne,4
2026-02-17,C.4117,Laurent Richard,10:30,11:15,Réunion équipe,4
2026-02-17,A.2396,Christophe Bonnet,10:45,12:45,Réunion équipe,6
2026-02-17,B.1213,Florian Girard,11:00,13:00,Rétrospective,14
2026-02-17,B.3348,Mathieu Lefebvre,11:00,12:00,Daily standup,7
2026-02-17,C.1221,Romain Lambert,11:15,12:15,Sprint planning,3
2026-02-17,A.0293,Sarah Gautier,11:30,12:00,Revue d'architecture,8
2026-02-17,B.1366,Pierre Guerin,11:30,12:00,Brainstorming,2
2026-02-17,B.0179,Émilie Muller,11:45,12:15,Réunion équipe,12
2026-02-17,B.1366,Émilie Muller,12:45,14:15,Entretien candidat,4
2026-02-17,C.4117,Charlotte Guerin,13:30,14:15,Demo produit,5
2026-02-17,C.1221,Élodie Perrin,15:00,16:30,Atelier client,5
2026-02-17,A.0293,Quentin Garnier,15:00,16:00,Formation interne,5
2026-02-17,B.1366,Vincent Bonnet,15:00,16:30,Présentation résultats,3
2026-02-17,C.3210,Émilie Richard,15:30,16:30,Entretien candidat,7
2026-02-17,C.4117,Justine Mathieu,15:45,16:45,Comité de pilotage,3
2026-02-17,A.2396,Pierre Durand,16:00,16:30,Entretien candidat,6
2026-02-17,B.0179,Caroline Faure,16:45,17:30,Présentation résultats,11
2026-02-17,A.2396,Mathieu Richard,16:45,17:30,Présentation résultats,5
2026-02-18,A.2396,Claire Bonnet,08:30,09:15,Entretien candidat,2
2026-02-18,C.3210,Pierre Garcia,09:00,09:45,Formation interne,3
2026-02-18,B.0179,Maxime Durand,09:30,10:15,Rétrospective,4
2026-02-18,A.0293,Sophie Michel,09:30,11:30,Revue d'architecture,4
2026-02-18,B.1366,Sarah Gautier,10:15,12:15,Daily standup,3
2026-02-18,C.4117,Benoit Morel,10:30,12:00,Réunion 1-1,3
