date,salle,organisateur,debut,fin,motif,nb_participants_prevu
2026-03-16,C.2324,Nathalie Bonnet,08:30,09:15,Formation interne,10
2026-03-16,A.0293,Luc Bernard,09:00,09:45,Atelier client,9
2026-03-16,B.3232,Antoine Muller,09:00,12:00,Rétrospective,14
2026-03-16,A.2396,Vincent Bonnet,09:15,11:15,Présentation résultats,5
2026-03-16,C.3210,Hugo Mathieu,09:30,11:30,Comité de pilotage,6
2026-03-16,C.1221,Pierre Garcia,11:30,12:00,Réunion équipe,3
2026-03-16,C.4117,Pauline Vincent,11:45,13:15,Demo produit,3
2026-03-16,A.0293,Camille Legrand,11:45,12:15,Daily standup,4
2026-03-16,B.0179,Aurélie Guerin,12:30,14:00,Demo produit,12
2026-03-16,B.1366,Maxime Durand,12:30,14:00,Présentation résultats,2
2026-03-16,C.3210,Élodie Clement,13:30,14:15,Réunion 1-1,8
2026-03-16,C.4117,Élodie Blanc,13:45,14:15,Brainstorming,2
2026-03-16,A.0415,Mathieu Lefebvre,14:00,15:00,Réunion équipe,8
2026-03-16,C.1221,Benoit Morel,15:00,15:30,Entretien candidat,3
2026-03-16,A.2396,Marie Roux,15:00,16:30,Présentation résultats,2
2026-03-16,C.2324,Isabelle Moreau,15:30,16:00,Réunion 1-1,11
2026-03-16,C.2324,Antoine Robert,16:00,16:45,Réunion équipe,2
2026-03-16,B.1366,Maxime Gautier,16:00,16:30,Réunion 1-1,3
2026-03-16,C.3210,Frédéric Bernard,16:30,17:30,Sprint planning,2
2026-03-17,C.2324,Romain Mathieu,08:00,08:45,Demo produit,12
2026-03-17,A.0293,Romain Simon,08:00,08:45,Formation interne,9
2026-03-17,C.4117,Maxime Durand,08:30,10:30,Onboarding,5
2026-03-17,B.1366,Julie Henry,08:45,09:15,Réunion 1-1,4
2026-03-17,B.1415,Sylvie Lefevre,09:00,12:00,Formation interne,8
2026-03-17,A.2396,Marion Perrin,09:15,10:45,Onboarding,4
2026-03-17,C.3210,Sophie Moreau,09:45,11:15,Rétrospective,4
2026-03-17,B.1366,Élodie Clement,10:45,11:15,Onboarding,4
2026-03-17,A.2396,Émilie Moreau,11:15,12:15,Sprint planning,2
2026-03-17,C.1221,Thomas Leroy,11:30,13:30,Formation interne,4
2026-03-17,B.1366,Caroline Muller,12:15,14:15,Réunion équipe,3
