date,salle,organisateur,debut,fin,motif,nb_participants_prevu
2026-04-27,B.2135,Nicolas Faure,08:00,08:30,Réunion 1-1,5
2026-04-27,A.4122,Léa Bonnet,08:15,09:45,Réunion équipe,6
2026-04-27,B.3471,Christophe David,08:30,10:30,Sprint planning,6
2026-04-27,A.1237,Benoit Guerin,08:45,09:45,Présentation résultats,9
2026-04-27,C.4145,Claire Dupont,09:00,09:45,Formation interne,4
2026-04-27,C.1209,Marie Fontaine,09:30,10:15,Atelier client,4
2026-04-27,B.2135,Inès Martin,10:15,11:00,Présentation résultats,4
2026-04-27,A.2239,Laurent Dupont,10:45,11:15,Daily standup,7
2026-04-27,B.1156,Fabien Lefebvre,11:00,11:45,Revue d'architecture,3
2026-04-27,C.4145,Florian Clement,11:15,12:00,Rétrospective,3
2026-04-27,A.2239,Romain Lefevre,11:30,12:30,Demo produit,4
2026-04-27,A.4122,Isabelle Michel,12:00,12:45,Atelier client,5
2026-04-27,B.3471,Nathalie Bernard,13:15,14:15,Présentation résultats,6
2026-04-27,C.1209,Pierre Simon,13:15,14:00,Demo produit,5
2026-04-27,B.1156,Caroline Garcia,13:15,13:45,Daily standup,2
2026-04-27,C.4145,Pauline Blanc,13:15,14:00,Réunion équipe,2
2026-04-27,B.1156,Caroline Henry,13:45,14:30,Sprint planning,7
2026-04-27,A.1237,Olivier André,13:45,14:30,Formation interne,6
2026-04-27,A.4122,Sarah Rousseau,14:30,16:00,Demo produit,4
2026-04-27,A.2239,Chloé Lefevre,14:45,16:15,Comité de pilotage,10
2026-04-27,A.1237,Aurélie Girard,16:45,17:15,Rétrospective,5
2026-04-28,A.2107,Sophie Clement,09:00,12:00,Présentation résultats,5
2026-04-28,B.2135,Claire Lefebvre,09:45,10:30,Atelier client,4
2026-04-28,A.1237,Caroline Fournier,10:30,11:15,Comité de pilotage,9
2026-04-28,A.2239,Léa Bonnet,10:45,11:45,Présentation résultats,10
2026-04-28,B.3471,Mathieu Legrand,11:00,12:30,Présentation résultats,5
2026-04-28,A.4122,Luc Perrin,11:15,12:45,Réunion équipe,5
2026-04-28,B.3181,Thomas Fontaine,12:00,15:00,Revue d'architecture,14
2026-04-28,B.2135,Léa Girard,12:30,14:30,Atelier client,4
2026-04-28,A.2239,Sophie Clement,12:30,13:15,Présentation résultats,10
2026-04-28,A.1237,Fabien Dupont,12:30,14:30,Atelier client,6
2026-04-28,C.1209,Romain Lefevre,12:45,13:15,Demo produit,4
2026-04-28,C.1209,Jean Dupont,13:15,13:45,Sprint planning,4
2026-04-28,B.1156,Pauline Garnier,13:15,14:15,Comité de pilotage,4
2026-04-28,C.4145,Mathilde Fontaine,13:30,15:00,Réunion équipe,6
2026-04-28,A.4122,Manon Michel,14:15,14:45,Présentation résultats,9
2026-04-28,C.1209,Manon Muller,14:30,16:30,Brainstorming,9
2026-04-28,B.3471,Mathieu François,14:45,15:30,Rétrospective,4
2026-04-28,A.4122,Caroline Vincent,16:00,18:00,Brainstorming,2
2026-04-28,C.4316,Frédéric Durand,16:00,18:00,Sprint planning,9
2026-04-28,A.2239,Mathilde Bertrand,16:30,17:30,Formation interne,6
2026-04-28,B.2135,Romain Lefevre,16:45,18:15,Présentation résultats,5
2026-04-28,B.3471,Inès Gautier,16:45,17:15,Onboarding,7
2026-04-28,C.4145,Luc Morel,16:45,18:15,Entretien candidat,4
2026-04-29,B.2135,Manon Muller,08:00,08:30,Demo produit,4
2026-04-29,B.3471,Mathieu François,08:00,08:30,Atelier client,10
2026-04-29,A.4122,Quentin Michel,08:00,10:00,Daily standup,5
