date,salle,organisateur,debut,fin,motif,nb_participants_prevu
2026-04-13,B.0179,Benoit Fontaine,08:15,09:15,Présentation résultats,8
2026-04-13,C.2324,Charlotte Guerin,08:15,10:15,Comité de pilotage,5
2026-04-13,B.1366,Quentin Garnier,08:15,09:15,Formation interne,4
2026-04-13,C.1221,Yannick Lefevre,08:30,09:00,Réunion 1-1,2
2026-04-13,C.3210,Élodie Blanc,09:00,11:00,Onboarding,4
2026-04-13,A.0293,Marion François,09:45,10:15,Revue d'architecture,2
2026-04-13,C.4117,Lucas Michel,10:00,11:00,Onboarding,5
2026-04-13,A.0293,Claire Petit,10:30,11:00,Comité de pilotage,10
2026-04-13,C.1221,Julie Bertrand,12:15,13:15,Formation interne,2
2026-04-13,A.0293,Léa Roussel,12:15,13:15,Réunion 1-1,4
2026-04-13,C.3210,Pierre Petit,12:45,14:15,Présentation résultats,7
2026-04-13,A.2396,Thomas Morel,13:45,14:15,Formation interne,3
2026-04-13,B.1415,Camille Legrand,14:00,17:00,Réunion 1-1,13
2026-04-13,C.1221,Pierre Petit,14:15,15:00,Comité de pilotage,6
2026-04-13,B.1366,Aurélie Durand,14:30,16:30,Présentation résultats,2
2026-04-13,C.4117,Stéphanie Henry,15:00,15:45,Réunion équipe,3
2026-04-13,A.0293,Émilie Boyer,15:15,15:45,Daily standup,6
2026-04-13,A.2396,Laurent Richard,15:15,15:45,Rétrospective,4
2026-04-13,B.0179,Pierre Martin,16:00,17:00,Atelier client,8
2026-04-13,C.4117,Antoine Muller,16:15,17:00,Formation interne,3
2026-04-13,C.2324,Maxime Durand,16:45,17:15,Revue d'architecture,9
2026-04-14,B.0179,Frédéric Bernard,08:00,09:30,Réunion 1-1,12
2026-04-14,B.1366,Pierre Garcia,08:00,10:00,Onboarding,4
2026-04-14,C.1221,Manon Lefebvre,08:45,10:45,Sprint planning,6
2026-04-14,C.2324,Élodie Gautier,08:45,10:45,Rétrospective,11
2026-04-14,A.2396,Fabien Dupuis,09:00,09:45,Rétrospective,3
2026-04-14,C.4117,Julie Guerin,10:00,12:00,Sprint planning,4
2026-04-14,B.1366,Manon Bertrand,10:00,11:30,Formation interne,4
2026-04-14,B.0179,Quentin Gautier,11:00,12:00,Demo produit,12
2026-04-14,A.0293,Yannick Michel,11:30,13:30,Rétrospective,10
2026-04-14,A.0415,Aurélie Durand,12:00,13:00,Réunion 1-1,8
2026-04-14,A.2396,Julie Guerin,12:15,13:15,Sprint planning,3
2026-04-14,C.3210,Justine Chevalier,12:45,13:45,Présentation résultats,7
2026-04-14,B.1213,Hugo Mathieu,13:00,15:00,Comité de pilotage,9
2026-04-14,B.0179,Lucas Legrand,13:45,15:15,Réunion 1-1,7
2026-04-14,C.3210,Isabelle Faure,15:30,16:30,Entretien candidat,4
2026-04-14,A.0293,Julie Henry,15:30,16:15,Daily standup,10
2026-04-14,A.2396,Pierre Durand,15:45,16:30,Présentation résultats,3
2026-04-14,B.1366,Caroline Fontaine,16:00,18:00,Sprint planning,3
2026-04-14,B.1415,Aurélie Durand,16:00,17:00,Demo produit,6
2026-04-14,A.4111,Sophie Michel,16:00,17:00,Revue d'architecture,7
2026-04-14,C.2324,Claire Robert,16:45,18:45,Entretien candidat,3
2026-04-15,C.1221,Stéphanie Laurent,08:00,08:45,Réunion 1-1,2
2026-04-15,A.2396,Camille Legrand,08:00,08:45,Sprint planning,6
2026-04-15,C.4117,Antoine Michel,08:15,08:45,Brainstorming,2
2026-04-15,C.2324,Élodie Gautier,08:15,09:15,Atelier client,12
2026-04-15,C.3210,Vincent Bonnet,09:00,11:00,Demo produit,5
2026-04-15,B.0179,Thomas Morel,09:15,10:00,Réunion équipe,5
2026-04-15,C.4117,Sarah Martin,09:15,09:45,Formation interne,3
2026-04-15,B.1366,Sandra Chevalier,09:15,10:45,Demo produit,3
2026-04-15,A.2396,Alexandre Chevalier,09:45,10:15,Demo produit,5
2026-04-15,C.1221,Sophie Moreau,10:45,12:15,Entretien candidat,3
2026-04-15,A.0293,Aurélie Durand,11:30,12:15,Atelier client,10
2026-04-15,A.2396,Élodie Blanc,11:45,12:45,Atelier client,2
2026-04-15,B.3348,Marion François,12:00,13:00,Réunion équipe,12
2026-04-15,C.4117,Sandra Clement,12:15,13:15,Présentation résultats,2
2026-04-15,A.0293,Lucas Michel,13:30,15:00,Réunion équipe,8
2026-04-15,B.1366,Sandra Chevalier,13:30,14:15,Atelier client,4
2026-04-15,B.0179,Camille Rousseau,13:45,14:15,Atelier client,6
2026-04-15,C.2324,Vincent Muller,13:45,14:30,Comité de pilotage,9
2026-04-15,C.3210,Lucas Henry,13:45,15:45,Rétrospective,5
2026-04-15,C.1221,Lucas Henry,14:45,15:45,Sprint planning,6
2026-04-15,C.2324,Nathalie Bonnet,14:45,15:30,Comité de pilotage,10
2026-04-15,A.2396,Aurélie Durand,15:00,16:00,Atelier client,5
2026-04-15,B.1366,Lucas Henry,15:45,16:45,Sprint planning,4
2026-04-15,C.2324,Isabelle Masson,16:00,16:45,Onboarding,5
2026-04-15,A.0415,Thomas Leroy,16:00,18:00,Brainstorming,8
2026-04-16,C.1221,Fabien Dupuis,08:45,09:15,Comité de pilotage,2
2026-04-16,C.3210,Sophie Michel,08:45,09:15,Atelier client,3
2026-04-16,A.0293,Pauline Chevalier,08:45,09:45,Comité de pilotage,6
2026-04-16,B.0179,Yannick Lefevre,09:00,11:00,Atelier client,5
2026-04-16,A.2396,Quentin Gautier,09:00,10:30,Réunion 1-1,5
2026-04-16,C.1221,Pauline Vincent,09:30,10:00,Onboarding,6
2026-04-16,B.1415,Isabelle Moreau,10:00,13:00,Réunion équipe,10
2026-04-16,A.4111,Fabien Dupuis,10:00,13:00,Revue d'architecture,11
2026-04-16,C.2324,Pauline Mathieu,11:00,11:30,Brainstorming,9
2026-04-16,A.0293,Manon Bertrand,11:00,12:00,Atelier client,9
2026-04-16,C.3210,Romain Simon,11:30,13:30,Réunion équipe,3
2026-04-16,C.4117,Sarah Rousseau,12:30,13:15,Daily standup,3
2026-04-16,C.1221,Aurélie Durand,13:00,14:30,Formation interne,6
2026-04-16,C.2324,Sarah Gautier,13:30,14:00,Réunion 1-1,5
2026-04-16,A.0293,Quentin Garnier,13:30,15:00,Brainstorming,10
2026-04-16,B.1366,Élodie Perrin,14:15,15:00,Entretien candidat,2
2026-04-16,C.2324,Vincent Bonnet,14:30,16:00,Présentation résultats,11
2026-04-16,C.3210,Aurélie Durand,14:30,16:00,Réunion équipe,8
2026-04-16,B.0179,Inès Dupuis,15:00,16:30,Daily standup,8
2026-04-16,B.1366,Sylvie Fournier,15:00,17:00,Daily standup,3
2026-04-16,C.1221,Isabelle Faure,15:45,16:15,Demo produit,4
2026-04-16,C.4117,Sophie Moreau,16:30,18:30,Présentation résultats,3
2026-04-17,C.3210,Laurent Richard,08:45,09:15,Présentation résultats,7
2026-04-17,A.0293,Florian Henry,08:45,09:30,Atelier client,3
2026-04-17,C.1221,Élodie Garcia,09:30,10:00,Présentation résultats,6
2026-04-17,C.2324,Hugo Mathieu,09:30,11:00,Daily standup,5
2026-04-17,B.1366,Caroline André,09:30,10:30,Présentation résultats,3
2026-04-17,B.0179,Marion Richard,10:00,12:00,Demo produit,7
2026-04-17,C.4117,Pierre Petit,10:15,12:15,Présentation résultats,2
2026-04-17,B.3232,Chloé Garnier,11:00,12:00,Rétrospective,13
2026-04-17,B.1366,Pierre Garcia,11:30,12:30,Atelier client,4
2026-04-17,B.0179,Pierre Martin,12:15,13:00,Revue d'architecture,2
2026-04-17,B.0179,Sébastien Blanc,13:00,14:30,Sprint planning,11
2026-04-17,B.1366,Sarah Martin,13:00,14:30,Sprint planning,3
2026-04-17,A.0293,Pierre Guerin,14:15,15:15,Daily standup,8
2026-04-17,A.2396,Émilie Boyer,14:45,15:30,Sprint planning,5
2026-04-17,C.1221,Stéphanie Laurent,15:00,16:30,Sprint planning,2
2026-04-17,C.2324,Quentin Garnier,15:00,16:30,Revue d'architecture,3
2026-04-17,C.3210,Élodie Perrin,15:15,15:45,Daily standup,2
2026-04-17,A.2396,Sylvie Lefevre,15:45,17:15,Réunion 1-1,6
