date,salle,organisateur,debut,fin,motif,nb_participants_prevu
2026-02-23,A.0293,Luc Mercier,08:00,08:45,Daily standup,6
2026-02-23,C.1221,Justine Robin,08:15,09:00,Comité de pilotage,3
2026-02-23,C.3210,Chloé Garnier,08:15,08:45,Atelier client,4
2026-02-23,C.4117,Caroline Blanc,08:30,09:15,Réunion 1-1,2
2026-02-23,C.1221,Pierre Durand,09:00,09:45,Présentation résultats,6
2026-02-23,A.2396,Marion François,09:30,10:00,Entretien candidat,2
2026-02-23,C.4117,Alexandre Chevalier,10:00,12:00,Demo produit,5
2026-02-23,B.1366,Romain Moreau,10:15,11:15,Demo produit,3
2026-02-23,C.3210,Vincent Muller,10:30,11:30,Réunion 1-1,7
2026-02-23,C.2324,Marion Richard,11:30,12:00,Réunion équipe,11
2026-02-23,B.0179,Luc Mercier,12:00,12:45,Formation interne,9
2026-02-23,A.4111,Romain Mathieu,13:00,15:00,Rétrospective,9
2026-02-23,C.1221,Jean Leroy,13:30,14:30,Réunion 1-1,5
2026-02-23,A.2396,Cédric Richard,13:30,14:15,Revue d'architecture,6
2026-02-23,C.4117,Stéphanie Henry,14:15,15:00,Atelier client,4
2026-02-23,A.2396,Antoine Muller,14:15,14:45,Réunion 1-1,5
2026-02-23,B.1213,Benoit Morel,15:00,18:00,Formation interne,16
2026-02-23,B.0179,Stéphanie Nicolas,15:45,17:15,Atelier client,10
2026-02-23,C.2324,Yannick Lefevre,16:00,18:00,Formation interne,5
2026-02-23,A.0293,Sandra David,16:00,16:45,Présentation résultats,6
2026-02-24,C.2324,Maxime Mathieu,08:15,10:15,Formation interne,3
2026-02-24,C.3210,Isabelle Masson,08:15,10:15,Onboarding,8
2026-02-24,C.1221,Sandra Mercier,09:00,09:45,Demo produit,2
2026-02-24,A.0293,Alexandre Chevalier,09:00,11:00,Formation interne,7
2026-02-24,B.1366,Stéphanie Henry,09:00,09:30,Demo produit,4
2026-02-24,B.0179,Sylvie Lefevre,10:45,11:45,Sprint planning,4
2026-02-24,A.2396,Fabien Richard,10:45,12:15,Présentation résultats,6
2026-02-24,C.4117,Cédric Durand,11:15,12:00,Onboarding,2
2026-02-24,C.3210,Manon Bertrand,12:45,14:45,Formation interne,4
2026-02-24,A.2396,Maxime Masson,12:45,13:30,Réunion 1-1,4
2026-02-24,B.1415,Marion Richard,13:00,14:00,Daily standup,7
2026-02-24,C.1221,Sandra David,13:15,15:15,Formation interne,5
2026-02-24,A.0293,Stéphanie Laurent,15:00,16:30,Atelier client,2
2026-02-24,C.1221,Émilie Boyer,15:15,16:15,Brainstorming,6
2026-02-24,C.2324,Aurélie Durand,15:30,16:15,Réunion équipe,12
2026-02-24,C.3210,Camille Rousseau,15:45,17:45,Réunion 1-1,6
2026-02-24,B.0179,Yannick Michel,16:00,16:30,Entretien candidat,9
2026-02-24,B.1366,Sylvie Fournier,16:00,16:30,Réunion 1-1,2
2026-02-24,C.4117,Mathieu Fontaine,16:45,17:45,Réunion équipe,4
2026-02-25,A.0293,Laurent Rousseau,08:00,09:00,Onboarding,2
2026-02-25,B.1366,Sébastien Blanc,08:15,09:45,Présentation résultats,3
2026-02-25,A.2396,Sophie Moreau,09:00,09:45,Présentation résultats,4
2026-02-25,C.1221,Charlotte Guerin,09:45,10:45,Onboarding,6
2026-02-25,C.4117,Marion Perrin,10:15,11:45,Présentation résultats,3
2026-02-25,C.2324,Antoine Michel,10:30,11:15,Comité de pilotage,7
2026-02-25,B.1366,Isabelle Moreau,10:45,11:45,Sprint planning,2
2026-02-25,A.0415,Charlotte Guerin,11:00,14:00,Rétrospective,14
2026-02-25,C.2324,Yannick Lefevre,11:30,12:30,Demo produit,6
2026-02-25,C.4117,Émilie Muller,11:45,12:30,Présentation résultats,5
2026-02-25,A.0293,Nathalie Bonnet,12:00,13:30,Brainstorming,6
2026-02-25,B.1366,Fabien Richard,12:15,13:45,Atelier client,2
2026-02-25,C.3210,Élodie Perrin,12:45,14:15,Revue d'architecture,7
2026-02-25,A.2396,Sophie Michel,12:45,13:15,Réunion équipe,4
2026-02-25,B.0179,Jean Laurent,13:45,14:45,Daily standup,3
2026-02-25,B.1213,Marion Nicolas,14:00,16:00,Sprint planning,11
2026-02-25,B.1415,Maxime Mathieu,14:00,16:00,Entretien candidat,5
2026-02-25,C.3210,Marion Morel,14:30,16:00,Revue d'architecture,3
2026-02-25,A.0293,Charlotte Guerin,14:30,16:00,Réunion 1-1,6
2026-02-25,B.0179,Maxime Masson,14:45,15:45,Revue d'architecture,5
2026-02-25,C.4117,Claire Petit,15:00,15:45,Demo produit,4
2026-02-25,B.3232,Lucas Legrand,16:00,18:00,Demo produit,11
2026-02-25,C.1221,Camille Legrand,16:45,17:15,Daily standup,6
2026-02-26,C.2324,Élodie Roussel,08:45,10:15,Réunion 1-1,5
2026-02-26,A.0293,Luc Bernard,08:45,09:30,Revue d'architecture,6
2026-02-26,A.2396,Claire Robert,08:45,10:15,Brainstorming,3
2026-02-26,B.0179,Élodie Blanc,09:15,09:45,Réunion 1-1,4
2026-02-26,C.4117,Justine Mathieu,10:00,12:00,Comité de pilotage,2
2026-02-26,B.1366,Jean Leroy,10:15,12:15,Onboarding,3
2026-02-26,A.2396,Justine Chevalier,10:15,10:45,Réunion équipe,2
2026-02-26,C.1221,Isabelle Faure,10:30,11:15,Comité de pilotage,6
2026-02-26,A.2396,Aurélie Guerin,10:45,11:30,Daily standup,4
2026-02-26,A.4111,Florian Girard,11:00,13:00,Présentation résultats,6
2026-02-26,B.0179,Julie Guerin,11:30,12:15,Réunion 1-1,11
2026-02-26,B.1366,Pauline Nicolas,12:15,13:00,Entretien candidat,2
2026-02-26,C.2324,Élodie Roussel,12:30,14:00,Atelier client,9
2026-02-26,A.0415,Pierre Petit,13:00,16:00,Formation interne,15
